상품명,권장 연령,권장 사이즈,사료 종류,사료 형태,주 단백질원,알갱이 크기,제조국,원산지,조단백,조지방,조섬유,조회분,수분,칼슘,인,오메가3,오메가6,기타 영양소,주성분
ANF 홀리스틱 그레인프리 Dog 양고기 & 감자,전연령,ALL,주식,건식,,,호주,호주,28%,15%,5%,10%,10%,1.45%,1.5%,0%,0%,,"['양고기', '감자', '완두콩', '병아리콩', '고구마', '정제계유', '렌틸콩', '비트펄프', '건조계란', '연어', '토마토', '어유', '가수분해 액상닭간', '소금', '해조류', '혼합 토코페롤', '로즈마리 추출물', '염화칼륨', '생균제', '비타민&미네랄', '염화콜린', '코발트 아미노산 킬레이트', '비오틴', '비타민 A아세테이트', '판토텐산칼슘', '니코틴산피리독신염산염(B6)', '일질산티아민(B1)', '비타민B12', '리보플라빈', 'DL-메티오닌', '메나디온나트륨 아황산수복합체(비타민K공급원)', '엽산', '구리 아미노산', '셀레나이트', '요오드산 칼슘']"
ANF 홀리스틱 그레인프리 Dog 닭고기 & 감자,전연령,ALL,주식,건식,,,호주,호주,28%,15%,5%,10%,10%,1.45%,1.5%,0%,0%,,"['닭고기', '감자', '완두콩', '병아리콩', '고구마', '정제계유', '렌틸콩', '비트펄프', '연어', '건조계란', '토마토', '어유', '가수분해 액상닭간', '소금', '해조류', '혼합토코페롤', '로즈마리 추출물', '인산칼슘', '염화콜린', '염화칼륨', '생균제', '비타민&미네랄', '코발트 아미노산 킬레이트', '비오틴', '비타민 A 아세테이트', '판토텐산칼슘', '니코틴산피리독신염산염(B6)', '일질산티아민(B1)', '비타민B12', '리보플라빈', 'DL-메티오닌', '메나디온나트륨', '아황산수소복합체(비타민K공급원)', '엽산', '구리 아미노산', '셀렌산 나트륨', '셀레나이트', '요오드산 칼슘']"
ANF 홀리스틱 그레인프리 Dog 연어 & 병아리콩,전연령,ALL,주식,건식,,,호주,호주,26%,15%,3.5%,8.5%,10%,1%,0.9%,0%,0%, 대사에너지 (3526 Kcal/kg),"['연어', '병아리콩', '노란콩', '노란콩전분', '정제계유', '감귤섬유소', '토마토박', '아마씨', '건조계란', '천연향미제', '오메가-3(DHA)', '해바라기유', '닭연골(글루코사민, 콘드로이틴의 원료)', '건조다시마', '알팔파', '건조사과', '건조당근', '건조크랜베리', '건조블루베리', '캐모마일', '민들레', '페퍼민트', '로즈마리', '강황', '청어유', '건조발효 생균제', '치커리 뿌리(이눌린)', '염화칼륨', '소금', '디칼슘 인산염', '염화콜린', '유카추출물', '칼슘 아스코르빈산(비타민 C)', '아연 아미노산', '철 아미노산', '비오틴', '망간 아판토텐산 칼슘', '나이아신', '피리독신 염산염(비타민 B6)', '티아민 질산염(비타민 B1)', '비타민 B12', '비타민 D3', '리보플라빈', 'DL-메티오닌', '구리 아미노산 킬레이트', '엽산', '셀레늄 효모', '칼슘 요오드 산']"
ANF 홀리스틱,전연령,ALL,주식,건식,,,호주,호주,24%,15%,3.5%,8.5%,0%,1.2%,1.5%,0%,0%,,"['닭고기', '현미', '닭기름(토코페롤 및 팔미트산 아스코르빌의 혼합물로 보존)', '비트펄프', '아마인', '닭연골(글루코사민과 황산콘드로이틴 공급원)', '알팔파', '계란', '생선', '천연닭고기향', '소금', '건조당근', '건조다시마', '레시틴', '맥주효모', '생선기름', '유카시디게라추출물', '염화칼륨', '건조블루베리', '페퍼민트', '건조토마토', '로즈마리', '민들레', '락토바실러스 아시도필러스 건조 발효물', '스트렙토코커스 페시엄 건조 발효물', '아스퍼길러스 오리재이 건조 발효물', '아스퍼길러스 나이저 건조 발효물', 'DL-메티오닌', '황산제1철(철분공급원)', '킬레이트철아미노산', '아스코르빈산', '비타민 E', '황산아연', '킬레이트 아연 아미노산', '황산망간', '등']"
ANF 램 홀리스틱,전연령,ALL,주식,건식,,,호주,호주,22%,12%,4.5%,11%,0%,1.45%,1.2%,0%,0%,,"['양고기', '현미', '귀리', '쌀겨', '아마씨', '닭기름(토코페롤 및 팔미트산 아스코르빌의 혼합물로 보존)', '건조 효모', '레서틴', '천연 양고기향', '건조 당근', '건조 다시마', '염화콜린', '아스코르브산 칼슘(비타민 C)', '킬레이트 아연 아미노산', '유카시디게라 추출물', '건조 블루베리', '민들레', '페퍼민트', '로즈마리', '토마토', '비타민 E', '킬레이트 철 아미노산', '킬레이트 망간 아미노산', '킬레이트 코발트 아미노산', '비오틴', '아세트산', '비타민 A', '판토텐산 칼슘', '나이아신', '피리독신 염화수소(B6)', '일질산 티아민(B1)', '비타민 D3', '리보플라빈', 'DL-메티오닌', '중아황산나트륨메나디온복합체(비타민 K 공급원)', '엽산', '킬레이트 구리 아미노산', '셀렌산 나트륨', '옥소산 칼슘', '등']"
ANF 램 홀리스틱 퍼피,퍼피,ALL,주식,건식,,1Cm,호주,호주,27%,17%,4%,9.05%,10%,1.5%,1.58%,0%,0%,,"['양고기', '쌀', '닭고기', '귀리', '닭지방', '사탕무펄프', '아마씨', '닭연골', '계란', '천연향미제', '레시틴', '생선오일', '염화콜린', 'L-라이신', 'DL-메티오닌', '엔터로코커스 페시움 건조 발표물', '락토바실러스 아시도필러스 건조발효물', '아스퍼길러스 나이저 건조 발효추출물', '트리코데르마 론지브라키아텀 건조 발효추출물', '프리바이오틱스', '유카추출물', '해초류', '천연항산화제', '초유', '아스코르브산 칼슘(비타민 C)', '염화칼륨(비타민 E)', '킬레이트 코발트 아미노산', '비오틴', '비타민 A']"
ANF 캥거루 홀리스틱,전연령,ALL,주식,건식,,1Cm,호주,호주,22%,12%,4.5%,9%,10%,1.45%,1.5%,0%,0%, 오메가-6 지방산 (2.35 %)이하 오메가-3 지방산 (0.47 %)이하,"['캥거루 고기', '현미', '캥거루 분말', '귀리', '쌀겨', '아마씨', '닭기름', '건조효모', '건조 당근', '건조 다시마', '염화콜린', '아스코르브산 칼슘(비타민 C 공급원)', '킬레이트 아연 아미노산', '유카시디게라 추출물', '건조 블루베리', '민들레', '페퍼민트', '로즈마리', '토마토', '비타민 E', '킬레이트 철아미노산', '킬레이트 망간 아미노산', '킬레이트 코발트 아미노산', '비오틴', '아세트산 비타민 A', '판토테산 칼슘', '나이아신', '피리독신 염화수소(B6)', '일질산 티아민(B1)', '비타민 B12']"
ANF 램 홀리스틱 시니어,시니어,ALL,주식,건식,,,호주,호주,0%,8%,4.5%,11%,0%,1.45%,1.5%,0%,0%,,"['양고기', '현미', '사탕무펄프', '귀리', '닭기름(토코페롤과 아스코르빌팔미테이트로 보존)', '아마씨', '효모', '쌀겨', '소금', '다시마', '천연 양고기향', '염화콜린', '아스코르브산 칼슘(비타민 C)', '킬레이트 아연아미노산', '유카시디게라 추출물', '건조 블루베리', '민들레', '페퍼민트', '로즈마리', '토마토', '비타민 E', '글루코사민', '황산 콘드로이틴', '킬레이트 철아미노산', '킬레이트 망간아미노산', '킬레이트 코발트아미노산', '비오틴', '아세트산 비타민 A', '판토테산 칼슘', '나이아신', '피리독신 염화수소(B6)', '일질산티아민(B1)', '비타민 B12', '비타민 D3', '리보플라빈', 'DL-메티오닌', '중아황산나트륨메나디온 복합체(비타민 K 공급원)', '엽산', '킬레이트 구리아미노산', '셀렌산 나트륨', '옥소산 칼슘', '등']"
ANF 생선 & 감자 홀리스틱,전연령,ALL,주식,건식,,,미국,호주,24%,15%,3.5%,9.5%,0%,1.2%,1.5%,0%,0%,,"['생선가루', '감자', '현미가루', '귀리가루', '닭기름(토코페롤 및 팔미트산 아스코르빌의 혼합물로 보존)', '비트펄프', '쌀 글루텐', '쌀겨', '건조 계란', '완두콩', '아마인', '천연향', '레시친', '생선기름', '건조 당근', '건조 다시마', '염화칼륨', '인산이칼슘', '건조 블루베리', '페퍼민트', '건조 토마토', '로즈마리', '민들레', '소금', '유카 시디게라 추출물', '락토바실러스 아시도필러스 건조 발효물', '스트렙토코커스 패시엄 건조 발효물', '아스퍼길러스 오리재이 건조 발효물', '아스퍼길러스 나이저 건조 발효물', '염화콜린', 'DL-메티오닌', '황산 철(철 공급원)', '아스코르브산', '비타민 E 보충제', '황산 아연', '황산 망간', '비오틴 보충제', '황산 동', '비타민 A 보충제', '니아신', '판토텐산 칼슘', '비타민 B12 보충제', '등']"
ANF 칠면조 & 고구마 홀리스틱,전연령,ALL,주식,건식,,,미국,호주,22%,12%,3.5%,8.5%,0%,1.2%,1.5%,0%,0%,,"['칠면조분말', '현미', '귀리', '보리', '닭기름(토코페롤 및 팔미트산아스코르빌의 혼합물로 보존처리)', '고구마', '쌀겨', '청어', '사탕무펄프', '건조계란', '아마인', '알팔파', '천연향', '생선기름', '키토산올리고당', '건조 당근', '레시틴', '건조 다시마', '인산제이칼슘', '소금', '아스코르빈산(비타민 C의 공급원)', '건조크린베리', '건조블루베리', '카모마일', '민들레', '페퍼민트', '건조토마토', '로즈마리', '심황', '염화칼륨', '락토바실러스 아시도필러스 건조 발효물', '스트렙토코커스 페시움', '아스퍼길러스 오리재이 건조 발효추출물', '아스퍼길러스 나이저 건조 발효추출물', '타우린', '유카시디게라추출물', '비타민 A', '비타민 D3', '킬레이트망간아미노산', '염화콜린', '중아황산나트륨메나디온복합체(비타민 K 공급원)', '엽산', '비오틴', '일질산티아민 (비타민 B1)', '염산피리독신(비타민 B6)', '셀렌산나트륨', '요오드칼슘', '킬레이트 아연아미노산', '킬레이트구리아미노산', '등']"
